ranking_2025,nit,razon_social,supervisor,región,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,ingresos_operacionales_2024,ganancia_pérdida_2024,total_activos_2024,total_pasivos_2024,total_patrimonio_2024,ranking_20251
13,860002554,PRIMAX COLOMBIA S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,11064508735,150125345,2217905611,1534145018,683760593,10521119421.0,158790529.0,2042644175.0,1488288046.0,554356129.0,13
14,900531210,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,H4930 - Transporte por tuberías,SERVICIOS,9925243863,5123370713,19715124079,2856862131,16858261948,9977736219.0,5269483525.0,20460889299.0,2992478739.0,17468410560.0,14
15,860005224,BAVARIA Y CIA SCA,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"C1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas",MANUFACTURA,9337111674,3340116479,13553691762,8434533779,5119157983,8615774364.0,2306254715.0,13614435259.0,9470246097.0,4144189162.0,15
16,800021308,DRUMMOND LTD,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO,7857281363,215285498,7373772139,2861546625,4512225514,11495989482.0,957722252.0,11695816465.0,3982188256.0,7713628209.0,16
17,890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,CARIBE,ATLÁNTICO,BARRANQUILLA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,7053580832,80589818,6108306424,3751475699,2356830725,7129192124.0,63653751.0,5730364083.0,3478879266.0,2251484817.0,17
18,800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,COMERCIO,6944743364,345765694,4312850282,2527489401,1785360881,5991097107.0,282877694.0,4142412178.0,2392953682.0,1749458496.0,18
19,800251163,OLEODUCTO CENTRAL S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,H4930 - Transporte por tuberías,SERVICIOS,6287230609,3072717611,6927592176,2935945402,3991646774,5975161078.0,3094792135.0,7747235936.0,3120957260.0,4626278676.0,19
20,800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,6203112707,4297388,4254249600,3548581245,705668355,5511646480.0,55891235.0,4145775740.0,3444404771.0,701370969.0,20
21,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - telefonica,SUPERFINANCIERA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,J6110 - Actividades de telecomunicaciones alámbricas,SERVICIOS,6194652175,-1608562240,14305285743,12357137862,1948147881,6673470061.0,-466957341.0,14486346854.0,10963512187.0,3522834667.0,21
22,890100251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,CARIBE,ATLÁNTICO,BARRANQUILLA,"C2394 - Fabricación de cemento, cal y yeso",MANUFACTURA,5964024733,2505545486,16938359333,5897131043,11041228290,8142608168.0,5521120010.0,19422945457.0,5883570869.0,13539374588.0,22
23,901380949,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,SUPERSERVICIOS,CARIBE,BOLÍVAR,CARTAGENA,D3514 - Comercialización de energía eléctrica,SERVICIOS,5612728005,-672503766,7406564025,4598371427,2808192598,6351548754.0,-253414590.0,7228846434.0,3746420265.0,3482426169.0,23
24,860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,5581924000,85104000,1755419000,962224000,793195000,5868986000.0,81261000.0,1670943000.0,1107903000.0,563040000.0,24
25,901339011,METRO LINEA 1 S.A.S.,SUPERTRANSPORTE,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,"BOGOTÁ, D.C.",F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,5333885673,764368886,6305837713,4984675754,1321161959,2319137244.876,282131045.428,3302973322.449,2767530733.08,535442589.369,25
26,890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",MANUFACTURA,5317414943,-1162898,3427100045,2645759712,781340333,5191373900.0,-45444421.0,3179245804.0,2421278243.0,757967561.0,26
